brand; type;sku;name;in_stock;36_months;24_months;12_months;price;description
Apple;Mobile phones;MYND3QN/A;Apple iPhone 16 Pro 5G, 128 Gt, Mustatitaani;Over 100 pcs;24,42;36,63;73,25;879;Apple iPhone 16 Pro with 128 GB storage in Mustatitaani titanium finish, premium 5G smartphone with pro-level cameras and durable design.
Apple;Mobile phones;MYNE3QN/A;Apple iPhone 16 Pro 5G, 128 Gt, Valkotitaani;Over 10 pcs;24,42;36,63;73,25;879;Apple iPhone 16 Pro with 128 GB storage in Valkotitaani (white titanium), advanced 5G device with professional-grade performance.
Apple;Mobile phones;MYNF3QN/A;Apple iPhone 16 Pro 5G, 128 Gt, Arotitaani;Over 50 pcs;24,42;36,63;73,25;879;Apple iPhone 16 Pro, 128 GB in Arotitaani (desert titanium), combines 5G speed with premium titanium build.
Apple;Mobile phones;MYNG3QN/A;Apple iPhone 16 Pro 5G, 128 Gt, Luonnontitaani;Over 50 pcs;24,42;36,63;73,25;879;Apple iPhone 16 Pro, 128 GB in Luonnontitaani (natural titanium), lightweight design with powerful 5G features.
Apple;Mobile phones;MYNH3QN/A;Apple iPhone 16 Pro 5G, 256 Gt, Mustatitaani;Over 50 pcs;27,19;40,79;81,58;979;Apple iPhone 16 Pro with 256 GB storage in Mustatitaani, premium 5G smartphone for heavy users needing extra storage.
Apple;Mobile phones;MYNJ3QN/A;Apple iPhone 16 Pro 5G, 256 Gt, Valkotitaani;0 pcs;27,19;40,79;81,58;979;Apple iPhone 16 Pro with 256 GB storage in Valkotitaani, elegant titanium finish with high-speed 5G performance.
Apple;Mobile phones;MYNK3QN/A;Apple iPhone 16 Pro 5G, 256 Gt, Arotitaani;Over 100 pcs;27,19;40,79;81,58;979;Apple iPhone 16 Pro 256 GB in Arotitaani titanium, robust and stylish 5G smartphone with pro cameras.
Apple;Mobile phones;MYNL3QN/A;Apple iPhone 16 Pro 5G, 256 Gt, Luonnontitaani;Over 25 pcs;27,19;40,79;81,58;979;Apple iPhone 16 Pro, 256 GB in Luonnontitaani titanium, premium smartphone with top-tier performance and camera system.
Apple;Mobile phones;MYNM3QN/A;Apple iPhone 16 Pro 5G, 512 Gt, Mustatitaani;1 pcs;32,75;49,13;98,25;1179;Apple iPhone 16 Pro with 512 GB storage in Mustatitaani, ideal 5G device for professionals needing maximum storage capacity.
Apple;Mobile phones;MYNN3QN/A;Apple iPhone 16 Pro 5G, 512 Gt, Valkotitaani;0 pcs;32,75;49,13;98,25;1179;Apple iPhone 16 Pro with 512 GB storage in Valkotitaani, premium flagship with titanium finish and advanced camera system.
Apple;Mobile phones;MYNP3QN/A;Apple iPhone 16 Pro 5G, 512 Gt, Arotitaani;0 pcs;32,75;49,13;98,25;1179;Apple iPhone 16 Pro 512 GB in Arotitaani titanium, ultra-fast 5G smartphone for power users.
Apple;Mobile phones;MYNQ3QN/A;Apple iPhone 16 Pro 5G, 512 Gt, Luonnontitaani;0 pcs;32,75;49,13;98,25;1179;Apple iPhone 16 Pro 512 GB in Luonnontitaani titanium, durable and elegant 5G device with pro-level cameras.
Apple;Mobile phones;MYWV3QN/A;Apple iPhone 16 Pro Max 5G, 256 Gt, Mustatitaani;Over 100 pcs;29,97;44,96;89,92;1079;Apple iPhone 16 Pro Max 256 GB in Mustatitaani titanium, large-screen 5G smartphone with best-in-class performance.
Apple;Mobile phones;MYWW3QN/A;Apple iPhone 16 Pro Max 5G, 256 Gt, Valkotitaani;7 pcs;29,97;44,96;89,92;1079;Apple iPhone 16 Pro Max 256 GB in Valkotitaani, premium titanium 5G device with advanced cameras and big display.
Apple;Mobile phones;MYWX3QN/A;Apple iPhone 16 Pro Max 5G, 256 Gt, Arotitaani;Over 100 pcs;29,97;44,96;89,92;1079;Apple iPhone 16 Pro Max 256 GB in Arotitaani, combines 5G performance with pro cameras and extra-large screen.
Apple;Mobile phones;MYWY3QN/A;Apple iPhone 16 Pro Max 5G, 256 Gt, Luonnontitaani;Over 100 pcs;29,97;44,96;89,92;1079;Apple iPhone 16 Pro Max 256 GB in Luonnontitaani, robust and stylish titanium 5G smartphone.
Apple;Mobile phones;MYX03QN/A;Apple iPhone 16 Pro Max 5G, 512 Gt, Mustatitaani;Over 50 pcs;35,53;53,29;106,58;1279;Apple iPhone 16 Pro Max 512 GB in Mustatitaani, flagship 5G device with big screen and ample storage.
Apple;Mobile phones;MYX13QN/A;Apple iPhone 16 Pro Max 5G, 512 Gt, Valkotitaani;Over 10 pcs;35,53;53,29;106,58;1279;Apple iPhone 16 Pro Max 512 GB in Valkotitaani, luxury titanium build with professional camera system.
Apple;Mobile phones;MYX23QN/A;Apple iPhone 16 Pro Max 5G, 512 Gt, Arotitaani;Over 100 pcs;35,53;53,29;106,58;1279;Apple iPhone 16 Pro Max 512 GB in Arotitaani, 5G smartphone with expansive storage and immersive display.
Apple;Mobile phones;MYX33QN/A;Apple iPhone 16 Pro Max 5G, 512 Gt, Luonnontitaani;Over 50 pcs;35,53;53,29;106,58;1279;Apple iPhone 16 Pro Max 512 GB in Luonnontitaani, titanium design with pro cameras and large display.
Google;Mobile phones;GA05226-GB;Google Pixel 9 5G 128 Gt, Obsidian;Over 10 pcs;21;31,5;63;756;Google Pixel 9 with 128 GB storage in Obsidian black, sleek 5G Android phone with AI-powered photography.
Google;Mobile phones;GA05227-GB;Google Pixel 9 Pro 5G 128 Gt, Obsidian;Over 10 pcs;25,42;38,13;76,25;915;Google Pixel 9 Pro with 128 GB storage in Obsidian, premium 5G smartphone with advanced AI camera system.
Google;Mobile phones;GA05769-GB;Google Pixel 9a 5G, 128 Gt, Obsidian;Over 10 pcs;12,81;19,21;38,42;461;Google Pixel 9a with 128 GB in Obsidian, affordable 5G phone with smooth Android experience and solid cameras.
Google;Mobile phones;GA05839-GB;Google Pixel 9 5G 128 Gt, Porcelain;Over 50 pcs;21;31,5;63;756;Google Pixel 9 with 128 GB storage in Porcelain white, minimalist 5G phone with AI-enhanced photography.
Google;Mobile phones;GA05840-GB;Google Pixel 9 5G 128 Gt, Wintergreen;Over 50 pcs;21;31,5;63;756;Google Pixel 9 128 GB in Wintergreen, colorful 5G smartphone with clean Android software and excellent camera.
Google;Mobile phones;GA05841-GB;Google Pixel 9 5G 128 Gt, Peony;Over 25 pcs;21;31,5;63;756;Google Pixel 9 128 GB in Peony, stylish 5G phone with AI photography and pure Android.
HMD;Mobile phones;101SQ503H056;HMD Fusion X1 5G;Over 25 pcs;6,61;9,92;19,83;238;HMD Fusion X1 5G, budget-friendly smartphone offering reliable performance, 5G connectivity, and long battery life.
HONOR;Mobile phones;5109BGFX;HONOR X6b, Musta;1 pcs;2,08;3,13;6,25;99;HONOR X6b in black, entry-level smartphone with essential features at an affordable price.
HONOR;Mobile phones;5109BGGA_;HONOR X6b, Vihreä;5 pcs;2,08;3,13;6,25;99;HONOR X6b in green, affordable smartphone with balanced performance and long-lasting battery.
HONOR;Mobile phones;5109BGRK;HONOR 200 5G, Musta;Over 100 pcs;4,58;6,88;13,75;165;HONOR 200 5G in black, stylish mid-range smartphone with 5G speed and solid camera system.
Motorola;Mobile phones;PB5U0003SE;Motorola Moto G55 5G, Harmaa;Over 10 pcs;5,36;8,04;16,08;193;Motorola Moto G55 5G in gray, affordable 5G phone with strong performance and large display.
OnePlus;Mobile phones;5011110198;OnePlus Nord CE4 Lite 5G, Mega Blue;0 pcs;3,58;5,38;10,75;129;OnePlus Nord CE4 Lite 5G in Mega Blue, value-friendly smartphone with smooth performance and long battery life.
OnePlus;Mobile phones;5011110199;OnePlus Nord CE4 Lite 5G, Super Silver;Over 100 pcs;3,58;5,38;10,75;129;OnePlus Nord CE4 Lite 5G in Super Silver, stylish budget 5G phone with large display.
OnePlus;Mobile phones;5011111048;OnePlus 13R 5G, Titaani;Over 100 pcs;11,81;17,71;35,42;425;OnePlus 13R 5G in Titanium finish, premium smartphone with strong performance and long-lasting battery.
OnePlus;Mobile phones;5011111049;OnePlus 13R 5G, Musta;Over 50 pcs;11,81;17,71;35,42;425;OnePlus 13R 5G in black, sleek 5G smartphone with high performance and reliable camera system.
OnePlus;Mobile phones;5011111074;OnePlus 13 5G, 256 Gt, Musta;Over 25 pcs;18,58;27,88;55,75;669;OnePlus 13 with 256 GB storage in black, flagship 5G smartphone with premium design and powerful performance.
OnePlus;Mobile phones;5011111075;OnePlus 13 5G, 512 Gt, Musta;Over 50 pcs;20,25;30,38;60,75;729;OnePlus 13 with 512 GB storage in black, high-end 5G phone offering ample storage and advanced features.
OnePlus;Mobile phones;5011113305;OnePlus Nord 5 5G, 256 Gt, Musta;Over 100 pcs;9,92;14,88;29,75;357;OnePlus Nord 5 with 256 GB storage in black, mid-range 5G smartphone with smooth performance.
OnePlus;Mobile phones;5011113306;OnePlus Nord 5 5G, 256 Gt, Valkoinen;Over 100 pcs;9,92;14,88;29,75;357;OnePlus Nord 5 with 256 GB storage in white, sleek mid-range 5G phone with reliable features.
OnePlus;Mobile phones;5011113307;OnePlus Nord 5 5G, 512 Gt, Musta;Over 100 pcs;12,14;18,21;36,42;437;OnePlus Nord 5 with 512 GB storage in black, offering extra capacity and solid 5G performance.
OnePlus;Mobile phones;5011113506;OnePlus Nord CE5 5G, 128 Gt, Musta;Over 100 pcs;7,72;11,58;23,17;278;OnePlus Nord CE5 with 128 GB storage in black, affordable 5G phone with good everyday usability.
OnePlus;Mobile phones;5011113507;OnePlus Nord CE5 5G, 256 Gt, Musta;Over 100 pcs;8,81;13,21;26,42;317;OnePlus Nord CE5 with 256 GB storage in black, budget-friendly 5G device with more storage.
OnePlus;Mobile phones;5011113508;OnePlus Nord CE5 5G, 128 Gt, Marble Mist;Over 100 pcs;7,72;11,58;23,17;278;OnePlus Nord CE5 with 128 GB storage in Marble Mist finish, stylish entry-level 5G smartphone.
Samsung;Mobile phones;SM-A166BLGDEUB;Samsung Galaxy A16 5G, Light Green;0 pcs;3,86;5,79;11,58;139;Samsung Galaxy A16 in light green, affordable 5G phone with essential features.
Samsung;Mobile phones;SM-A166BZKDEUB;Samsung Galaxy A16 5G, Blue Black;Over 100 pcs;3,86;5,79;11,58;139;Samsung Galaxy A16 in blue-black, budget-friendly 5G phone for daily use.
Samsung;Mobile phones;SM-A266BLGBEUB;Samsung Galaxy A26 5G, 128 Gt, Mint;Over 100 pcs;5,97;8,96;17,92;215;Samsung Galaxy A26 with 128 GB storage in mint color, reliable mid-range 5G smartphone.
Samsung;Mobile phones;SM-A266BLGCEUB;Samsung Galaxy A26 5G, 256 Gt, Mint;Over 25 pcs;7,36;11,04;22,08;265;Samsung Galaxy A26 with 256 GB storage in mint, stylish 5G phone with extra storage.
Samsung;Mobile phones;SM-A266BZKBEUB;Samsung Galaxy A26 5G, 128 Gt, Black;Over 100 pcs;5,97;8,96;17,92;215;Samsung Galaxy A26 with 128 GB storage in black, solid mid-range 5G device.
Samsung;Mobile phones;SM-A266BZKCEUB;Samsung Galaxy A26 5G, 256 Gt, Black;Over 100 pcs;7,36;11,04;22,08;265;Samsung Galaxy A26 with 256 GB storage in black, offering good balance of storage and performance.
Samsung;Mobile phones;SM-A266BZWBEUB;Samsung Galaxy A26 5G, 128 Gt, White;0 pcs;5,97;8,96;17,92;215;Samsung Galaxy A26 with 128 GB storage in white, clean design with everyday 5G performance.
Samsung;Mobile phones;SM-A266BZWCEUB;Samsung Galaxy A26 5G, 256 Gt, White;Over 25 pcs;7,36;11,04;22,08;265;Samsung Galaxy A26 with 256 GB storage in white, offering solid 5G performance and ample storage.
Samsung;Mobile phones;SM-A366BLVBEUB;Samsung Galaxy A36 5G, 128 Gt, Awesome Lavender;Over 100 pcs;7,92;11,88;23,75;285;Samsung Galaxy A36 with 128 GB storage in Awesome Lavender, trendy 5G phone with great display.
Samsung;Mobile phones;SM-A366BLVGEUB;Samsung Galaxy A36 5G, 256 Gt, Awesome Lavender;Over 100 pcs;9,42;14,13;28,25;339;Samsung Galaxy A36 with 256 GB storage in Awesome Lavender, stylish 5G phone with extra storage.
Samsung;Mobile phones;SM-A366BZABEUB;Samsung Galaxy A36 5G, 128 Gt, Awesome White;Over 50 pcs;7,92;11,88;23,75;285;Samsung Galaxy A36 with 128 GB storage in Awesome White, modern mid-range 5G phone.
Samsung;Mobile phones;SM-A366BZAGEUB;Samsung Galaxy A36 5G, 256 Gt, Awesome White;Over 50 pcs;9,42;14,13;28,25;339;Samsung Galaxy A36 with 256 GB storage in Awesome White, solid performer with bigger storage.
Samsung;Mobile phones;SM-A366BZKBEUB;Samsung Galaxy A36 5G, 128 Gt, Awesome Black;Over 100 pcs;7,92;11,88;23,75;285;Samsung Galaxy A36 with 128 GB storage in Awesome Black, reliable 5G smartphone for daily use.
Samsung;Mobile phones;SM-A366BZKGEUB;Samsung Galaxy A36 5G, 256 Gt, Awesome Black;Over 25 pcs;9,42;14,13;28,25;339;Samsung Galaxy A36 with 256 GB storage in Awesome Black, dependable mid-range phone with more capacity.
Samsung;Mobile phones;SM-A566BZAAEUB;Samsung Galaxy A56 5G, 128 Gt, Awesome Lightgray;Over 100 pcs;9,97;14,96;29,92;359;Samsung Galaxy A56 with 128 GB storage in Awesome Lightgray, higher mid-range 5G phone with sleek design.
Samsung;Mobile phones;SM-A566BZACEUB;Samsung Galaxy A56 5G, 256 Gt, Awesome Lightgray;Over 100 pcs;11,08;16,63;33,25;399;Samsung Galaxy A56 with 256 GB storage in Awesome Lightgray, advanced mid-range with ample storage.
Samsung;Mobile phones;SM-A566BZGAEUB;Samsung Galaxy A56 5G, 128 Gt, Awesome Olive;Over 100 pcs;9,97;14,96;29,92;359;Samsung Galaxy A56 with 128 GB storage in Awesome Olive, stylish 5G phone with reliable performance.
Samsung;Mobile phones;SM-A566BZGCEUB;Samsung Galaxy A56 5G, 256 Gt, Awesome Olive;Over 100 pcs;11,08;16,63;33,25;399;Samsung Galaxy A56 with 256 GB storage in Awesome Olive, dependable device with extra storage.
Samsung;Mobile phones;SM-A566BZKAEUB;Samsung Galaxy A56 5G, 128 Gt, Awesome Graphite;Over 100 pcs;9,97;14,96;29,92;359;Samsung Galaxy A56 with 128 GB storage in Awesome Graphite, powerful mid-range 5G phone.
Samsung;Mobile phones;SM-A566BZKCEUB;Samsung Galaxy A56 5G, 256 Gt, Awesome Graphite;Over 100 pcs;11,08;16,63;33,25;399;Samsung Galaxy A56 with 256 GB storage in Awesome Graphite, large storage capacity and smooth performance.
Samsung;Mobile phones;SM-F761BZKGEUB;Samsung Galaxy Z Flip7 FE 5G, 128 Gt, Black;Over 50 pcs;23,19;34,79;69,58;835;Samsung Galaxy Z Flip7 FE with 128 GB storage in black, foldable 5G phone with innovative design.
Samsung;Mobile phones;SM-F761BZKHEUB;Samsung Galaxy Z Flip7 FE 5G, 256 Gt, Black;Over 25 pcs;24,53;36,79;73,58;883;Samsung Galaxy Z Flip7 FE with 256 GB storage in black, stylish foldable smartphone with more storage.
Samsung;Mobile phones;SM-F761BZWGEUB;Samsung Galaxy Z Flip7 FE 5G, 128 Gt, White;Over 25 pcs;23,19;34,79;69,58;835;Samsung Galaxy Z Flip7 FE 5G with 128 GB storage in White, a stylish foldable phone delivering flexible design and flagship-level 5G performance.
Samsung;Mobile phones;SM-F766BDBGEUB;Samsung Galaxy Z Flip7 5G, 256 Gt, Blue Shadow;1 pcs;27,64;41,46;82,92;995;Samsung Galaxy Z Flip7 5G with 256 GB storage in Blue Shadow, premium foldable smartphone with sleek design and advanced cameras.
Samsung;Mobile phones;SM-F766BZKGEUB;Samsung Galaxy Z Flip7 5G, 256 Gt, Jetblack;Over 25 pcs;27,64;41,46;82,92;995;Samsung Galaxy Z Flip7 5G with 256 GB storage in Jetblack, offering modern foldable design, 5G connectivity, and premium performance.
Samsung;Mobile phones;SM-F766BZKHEUB;Samsung Galaxy Z Flip7 5G, 512 Gt, Jetblack;Over 50 pcs;30,42;45,63;91,25;1095;Samsung Galaxy Z Flip7 5G with 512 GB storage in Jetblack, flagship foldable smartphone with extra storage for demanding users.
Samsung;Mobile phones;SM-F966BDBBEUB;Samsung Galaxy Z Fold7 5G, 256 Gt, Blue Shadow;Over 10 pcs;48,67;73;146;1752;Samsung Galaxy Z Fold7 5G with 256 GB storage in Blue Shadow, advanced foldable with expansive display and multitasking power.
Samsung;Mobile phones;SM-F966BZKBEUB;Samsung Galaxy Z Fold7 5G, 256 Gt, Jetblack;Over 10 pcs;48,67;73;146;1752;Samsung Galaxy Z Fold7 5G with 256 GB storage in Jetblack, productivity-focused foldable phone with flagship performance.
Samsung;Mobile phones;SM-F966BZKCEUB;Samsung Galaxy Z Fold7 5G, 512 Gt, Jetblack;Over 25 pcs;51,53;77,29;154,58;1855;Samsung Galaxy Z Fold7 5G with 512 GB storage in Jetblack, offering immersive large-screen experience with premium storage.
Samsung;Mobile phones;SM-G556BZKDEEB;Samsung Galaxy XCover7;Over 50 pcs;7,75;11,63;23,25;279;Samsung Galaxy XCover7, a durable smartphone built for tough environments with essential features for reliable performance.
Samsung;Mobile phones;SM-G766BZKDEEB;Samsung Galaxy XCover7 Pro 5G Enterprise Edition, Musta;Over 50 pcs;13,47;20,21;40,42;485;Samsung Galaxy XCover7 Pro 5G Enterprise Edition in Black, rugged business-ready device with enhanced durability and 5G connectivity.
Samsung;Mobile phones;SM-S721BZKGEUB;Samsung Galaxy S24 FE 5G, 256 Gt, Harmaa;Over 25 pcs;13,25;19,88;39,75;477;Samsung Galaxy S24 FE 5G with 256 GB storage in Gray, fan edition smartphone balancing flagship performance and affordability.
Samsung;Mobile phones;SM-S921BZADEUB;Samsung Galaxy S24, 128 Gt, Marble Gray;0 pcs;14,44;21,67;43,33;520;Samsung Galaxy S24 with 128 GB storage in Marble Gray, compact flagship phone with smooth performance and premium build.
Samsung;Mobile phones;SM-S921BZAGEUB;Samsung Galaxy S24, 256 Gt, Marble Gray;0 pcs;16,25;24,38;48,75;585;Samsung Galaxy S24 with 256 GB storage in Marble Gray, elegant flagship smartphone with extra storage capacity.
Samsung;Mobile phones;SM-S921BZKDEUB;Samsung Galaxy S24, 128 Gt, Onyx Black;Over 100 pcs;14,44;21,67;43,33;520;Samsung Galaxy S24 with 128 GB storage in Onyx Black, stylish flagship with advanced camera system and 5G.
Samsung;Mobile phones;SM-S921BZKGEUB;Samsung Galaxy S24, 256 Gt, Onyx Black;0 pcs;16,25;24,38;48,75;585;Samsung Galaxy S24 with 256 GB storage in Onyx Black, premium smartphone with elegant design and large storage.
Samsung;Mobile phones;SM-S921BZVDEUB;Samsung Galaxy S24, 128 Gt, Cobalt Violet;0 pcs;14,44;21,67;43,33;520;Samsung Galaxy S24 with 128 GB storage in Cobalt Violet, modern flagship with vibrant design and powerful performance.
Samsung;Mobile phones;SM-S921BZVGEUB;Samsung Galaxy S24, 256 Gt, Cobalt Violet;Over 50 pcs;16,25;24,38;48,75;585;Samsung Galaxy S24 with 256 GB storage in Cobalt Violet, stylish smartphone with vibrant finish and flagship performance.
Samsung;Mobile phones;SM-S921BZYDEUB;Samsung Galaxy S24, 128 Gt, Amber Yellow;Over 25 pcs;14,44;21,67;43,33;520;Samsung Galaxy S24 with 128 GB storage in Amber Yellow, premium phone with colorful design and cutting-edge features.
Samsung;Mobile phones;SM-S931BDBDEUB;Samsung Galaxy S25 5G, 128 Gt, Navy;Over 50 pcs;19,97;29,96;59,92;719;Samsung Galaxy S25 5G with 128 GB storage in Navy, flagship 5G smartphone with sleek design and powerful features.
Samsung;Mobile phones;SM-S931BDBGEUB;Samsung Galaxy S25 5G, 256 Gt, Navy;Over 100 pcs;21,33;32;64;768;Samsung Galaxy S25 5G with 256 GB storage in Navy, elegant flagship phone offering expanded storage and premium experience.
Samsung;Mobile phones;SM-S931BLBDEUB;Samsung Galaxy S25 5G, 128 Gt, Icy Blue;Over 100 pcs;19,97;29,96;59,92;719;Samsung Galaxy S25 5G with 128 GB storage in Icy Blue, sleek flagship with smooth 5G connectivity and advanced cameras.
